#-символ переноса строки, использовать вместо Entera;;;;;;;;
Номера по спискам;Русский;English;中文;Deutsch;Español;Français;Italiano;Polski
специальные теги, не удалять, не изменять, при добавлении переносить вниз;book_name;book_name;book_name;book_name;;;;book_name
1;Монастырская книга;Livro Monástico;《修院纪实》;Buch der Abtei;;;;Klasztorna Księga
2;Вырванная страница 1/3;Página de Diário 1/3;日记一;Tagebuchseite 1/3;;;;Strona z Dziennika 1/3
3;Вырванная страница 2/3;Página de Diário 2/3;日记二;Tagebuchseite 2/3;;;;Strona z Dziennika 2/3
4;Вырванная страница 3/3;Página de Diário 3/3;日记三;Tagebuchseite 3/3;;;;Strona z Dziennika 3/3
5;Записка настоятеля;Nota do Abade;院长的字条;Notiz des Abts;;;;Notka Abbota
6;Старый контракт;Contrato antigo;契据;Alter Auftrag;;;;Stary Kontrakt
7;Пиромантический трактат I;Tratado piromantico I;炎系法术文献一;Pyromantische Abhandlung I;;;;Podręcznik Piromancji I
8;Пиромантический трактат II;Tratado piromantico II;炎系法术文献二;Pyromantische Abhandlung II;;;;Podręcznik Piromancji II
9;Пиромантический трактат III;Tratado piromantico III;炎系法术文献三;Pyromantische Abhandlung III;;;;Podręcznik Piromancji III
10;Пиромантический трактат IV;Tratado piromantico IV;炎系法术文献四;Pyromantische Abhandlung IV;;;;Podręcznik Piromancji IV
11;Геомантический трактат I;Tratado Geomantico I;地系法术文献一;Geomantische Abhandlung I;;;;Podręcznik Geomancji I
12;Геомантический трактат II;Tratado Geomantico II;地系法术文献二;Geomantische Abhandlung II;;;;Podręcznik Geomancji II
13;Геомантический трактат III;Tratado Geomantico III;地系法术文献三;Geomantische Abhandlung III;;;;Podręcznik Geomancji III
14;Геомантический трактат IV;Tratado Geomantico IV;地系法术文献四;Geomantische Abhandlung IV;;;;Podręcznik Geomancji IV
15;Трактат о щитах I;Tratado dos escudos I;盾技文献一;Abhandlung über Schilde I;;;;Podręcznik Tarczownika I
16;Трактат о мечах I;Tratado da Espada I;剑法文献一;Abhandlung über Schwerter I;;;;Podręcznik Szermierza I
17;Трактат о топорах I;Tratado do Machado I;斧技文献一;Abhandlung über Äxte I;;;;Podręcznik Topornika I
18;Трактат о булавах I;Tratado da Maça I;锤法文献一;Abhandlung über Streitkolben I;;;;Podręcznik Buław I
19;Трактат о кинжалах I;Tratado da Adaga I;匕首文献一;Abhandlung über Dolche I;;;;Podręcznik Skrytobójcy I
20;Трактат о двуручных мечах I;Tratado das Grandes Espadas I;大剑文献一;Abhandlung über Großschwerter I;;;;Podręcznik Mieczy Dwuręcznych I
21;Трактат о стрельбе I;Tratado sobre Armas à Distância I ;远程武器文献一;Abhandlung über Fernkampfwaffen I;;;;Podręcznik Łucznictwa I
22;Трактат о посохах I;Tratado de Pessoas I;杖法文献一;Abhandlung über Stäbe I;;;;Podręcznik Walki Laskami I
;book_name_end;book_name_end;book_name_end;book_name_end;;;;book_name_end
;;;;;;;;
;;;;;;;;
;book_content;book_content;book_content;book_content;;;;book_content
1;День третий месяца Жатвы##Сегодня братья славно поработали. Надеюсь, скорый урожай воздаст сторицей наш тяжёлый труд, как это было в прошлом году. Ещё пара таких лет и мы накопим достаточно, чтобы подлатать наши порядком изветшавшие кельи. Воистину, терпение и труд - величайшие добродетели.##День пятый месяца Жатвы##Ночью брат Альберт внезапно слёг со страшной горячкой - от его тела исходит такой нестерпимый жар, что можно обжечь ладонь. Ума не приложу, где его угораздило подхватить такую лихорадку... Должно быть, простудился под ливнем, с ним это не впервой. Я приставил к Альберту нескольких братьев и послал в Манншир за тамошним лекарем - травяными припарками и усердными молитвами такая хворь лечится в два счёта.##День шестой месяца Жатвы##Со вчерашней ночи брат Альберт перестал кого-либо узнавать. Он неустанно бормочет какую-то тарабарщину, но мы не можем разобрать ни слова...##Травник всю ночь провёл подле больного, перепробовав все свои снадобья, но всё без толку - пришлось заплатить ему и отправить восвояси. Если Альберт не пойдёт на поправку сам, в скором времени нам придётся раскошелиться и на достойные проводы...##Вечер шестого дня месяца Жатвы##Брат Ирв тоже занемог. Это не простуда...;3º dia da colheita ##Nossos irmãos trabalharam bem hoje. Espero que a próxima colheita nos recompense pelo nosso trabalho árduo, como foi no ano passado. Mais algumas temporadas abundantes, e seremos capazes de economizar ouro suficiente para consertar nosso claustro gasto. Paciência e diligência são realmente as maiores virtudes. ##5ª da colheita ##Nesta noite, o irmão Albert caiu com uma febre repentina. O calor de seu corpo é tão severo que pode queimar a mão dele. Não tenho ideia de como ele conseguiu pegar um resfriado como esse... Talvez ele trabalhasse na chuva, não seria sua primeira vez. Deixei alguns irmãos ao lado de Albert e enviei a Mannshire para um curandeiro. Emplastros de ervas e orações sinceras devem ser mais do que suficientes para curar essa doença. Ele continua balbuciando algumas besteiras, mas ninguém consegue entender isso ... O curandeiro passou uma noite inteira ao lado da cama, tentou todas as poções, mas não adiantou. Acabamos pagando e mandando de volta. Se Albert não melhorar logo, ele será o funeral dele. Teremos que pagar por... ##6ª dia de Colheita, noite ##O irmão Irve também está doente. Não é um resfriado...;刈月三日##大家今天都很卖力，希望这次的收成能像去年一样好，也不枉我们一年的辛苦。再有几季的好收成，我们应该就有钱修补修院的回廊了。耐心和勤劳真的是最宝贵的美德啊！##刈月五日##夜班的埃尔伯特兄弟突然病倒了，高烧不退，整个人烫得碰都不能碰，也不知道他这是什么感冒……估计是淋雨着了凉，他也不是第一次淋雨干活了。我让几位兄弟守在艾尔伯特床边，还叫了人去曼郡找治疗师来给他看看。用些草药，再祈祷几次，他这病应该就能好了。##刈月六日##艾尔伯特从昨天晚上开始就不认识人了，而且净说胡话，大家伙儿谁都不知道他说的是什么……##治疗师在他床边忙活了整整一夜，能用的药全都用了一遍，也没有效果，我们最后只能给了他钱，把他送回去了。艾尔伯特这两天要是还不见好的话，我们估计就要出钱给他下葬了……##刈月六日夜##伊尔弗兄弟也病倒了，看样子这病不是感冒那么简单……;3. der Ernte##Unsere Brüder plagten sich heute ziemlich ab. Ich hoffe, dass die kommende Ernte uns gut entlohnt für die harte Arbeit. Noch einige gute Saisons und wir sollten genug Gold zusammen haben, um unseren Kreuzgang auszubessern. Geduld und Sorgfalt sind wahrlich die größten Tugenden.##5. der Ernte##Diese Nacht verfiel Bruder Albert plötzlich einem Fieber. Die Hitze seines Körpers kann einem fast die Hand verbrennen. Ich habe keine Ahnung wie er sich die Erkältung geholt hat... Vielleicht arbeitete er im Regen, was nicht das erst Mal gewesen wäre. Ich ließ einige Brüder an Alberts Seite und sandte nach einem Heiler in Mannshire. Kräuterumschläge und ernste Gebete sollte mehr als genug sein, um sein Leiden zu kurieren.##6. der Ernte##Seit letzter Nacht erkennt Bruder Albert keinen mehr von uns. Er brabbelt fortwährend vor sich hin, ohne dass wir Sinn darin sehen....##Der Heiler verbrachte die ganze Nacht an seinem Bett, versuchte es mit all seinen Tränken, aber ohne Erfolg. Wir bezahlten ihn, und schickten ihn wieder fort. Sollte es Albert nicht bald besser gehen, werden wir wohl bald für seine Beerdigung zahlen müssen....##6. der Ernte, abends##Bruder Irve ist auch erkrankt. Das ist keine Erkältung...;;;;3rd of Reaping##Our brothers toiled well today. I hope that the coming harvest will recompense us for our hard work as it was last year. Another few bountiful seasons, and we shall be able to save enough gold to patch our shabby cloister. Patience and diligence are truly the greatest virtues.##5th of Reaping##This night Brother Albert went down with a sudden fever. The heat from his body is so severe, one can burn a hand on him. I have no idea how he managed to catch a cold like this... Perhaps he worked in the rain, wouldn't be his first time. I left a couple brothers by Albert's side and sent to Mannshire for a healer. Herbal poultices and earnest prayers should be more than enough to cure this ailment.##6th of Reaping##Since the last night Brother Albert has stopped recognizing any of us. He keeps on babbling some nonsense but no one can make sense of it...##The healer spent an entire night by his bedside, tried all his potions but it was no use. We ended up paying him and sending him back. If Albert doesn't get better soon by himself, it will be his funeral we'll have to pay for...##6th of Reaping, evening##Brother Irve is sick as well. It's not a cold...
2;День десятый месяца Жатвы##Весь монастырь пропитан миазмами этой страшной хвори. Половина братьев мечется в бреду. Их тела покрыты струпьями и нарывами, кровь идёт из всех пор, и мы ничем не можем облегчить их страдания...##Я объявил карантин и приказал запереть всех больных в катакомбах. Боюсь, всё тщетно - через пару дней слягут все остальные... Сонм, дай мне сил выстоять и сохранить общину...;10º dia de Colheita ##O contágio desta doença horrível agora permeia todo o monastério. Metade dos nossos irmãos estão delirando. Seus corpos estão cheios de crostas e furúnculos, o sangue está escorrendo pelo seus poros, e não podemos fazer nada para aliviar o sofrimento deles... ##declarei uma quarentena e ordenei bloquear todos que mostrassem sinais da doença nas catacumbas. Mas temo que seja tudo em vão -o resto ficará doente em alguns dias ... O Anfitrião me dá forças para perseverar e salvar nossa congregação ...;刈月十日##瘟疫笼罩了整个修院，半数的兄弟都已经精神错乱，他们浑身痂疮，耳鼻眼口出血，可我们却无能为力，只能眼睁睁地看着他们受罪……##我下达了隔离的命令，把出现瘟病症状的所有人都锁进了地下墓道。不过，即便如此，想必也是徒劳-----过不了几天，剩下的人也会患上这病.....主啊，赐我力量，挽救院内众人啊.....;10. der Ernte##Das Miasma der schrecklichen Krankheit durchzieht nun die gesamte Abtei. Die Hälfte der Brüder ist im Delirium. Ihre Körper sind mit Schorf und Beulen bedeckt, Blut kommt aus den Poren, und wir können nichts tun, um ihre Leiden zu lindern...##Ich verhängte eine Quarantäne und befahl, jeden in den Katakomben einzuschließen der Symptome der Krankheit zeigt. Aber ich fürchte, dass alles vergeblich ist - auch der Rest wird wohl in den nächsten Tagen erkranken.... DER GASTGEBER möge mir Stärke geben, um durchzuhalten und unsere Kongregation zu retten....;;;;10th of Reaping##The miasma of this horrible disease now permeates the entire monastery. Half our brothers are delirious. Their bodies are riddled with scabs and boils, blood is seeping through their pores, and we can't do anything to ease their suffering...##I declared a quarantine and ordered to lock down everyone who showed signs of the disease in the catacombs. But I fear it's all in vain - the rest will go down sick in a couple of days... The Host give me strength to persevere and save our congregation...
