;Русский;English;中文;Deutsch;Español;Français;Italiano;Português;Polski
;contracts_text;contracts_text;contracts_text;contracts_text;contracts_text;contracts_text;contracts_text;contracts_text;contracts_text
;con_1;con_1;con_1;con_1;con_1;con_1;con_1;con_1;con_1
1;Незадачливый крестьянин;Camponês Desafortunado;倒霉农民;Der glücklose Bauer;;;;;Nieszczęśliwy Wieśniak
2;Имя %hostage_name% тебе о чём-то говорит? Впрочем, неважно. Важно то, что пару дней назад этот остолоп умудрился угодить в лапы разбойников. Сейчас они держат его где-то в застенках места под названием %dungeon_name% и ждут выкупа.#Мы могли бы собрать выкуп... но с таким сбродом нужно разговаривать на их же языке. Тебе нужно вызволить пленника и заодно оставить понятное послание - например, вспороть брюхо их главарю. Справишься?;O nome "%hostage_name%" significa alguma coisa para você? Bem, isso realmente não importa. O que importa é que essa cabeça de vento conseguiu ficar nas garras dos bandidos a alguns dias atrás. Eles estão mantendo refém em algum lugar dentro do/da %dungeon_name% para resgate.#Poderíamos coletar o dinheiro... Mas esses vermes só entendem a linguagem da força. Preciso que você o resgate e deixe uma mensagem que eles entenderão. Eliminar o líder deve funcionar bem. Você vai fazer isso?;你听说过“%hostage_name%”这个名字吗？没听说过就没听说过吧。这个蠢货厉害的很，前两天落到了一帮土匪手上，被他们绑进了%dungeon_name%。#赎人的钱我们不是筹不到……只是这群人渣听不懂人话，只有动手才能明白。我想让你去把他救出来，顺便教训教训他们动动手。我觉得他们老大要是开肠破肚了，这些人应该就明白了吧。这活儿你干吗？;Sagt dir der Name "%hostage_name%" etwas? Nun, das ist nicht wirklich wichtig. Wichtig ist, dass dieser Dummkopf es vor einigen Tagen geschafft hat, in die Fänge von Banditen zu gelangen. Sie halten ihn irgendwo am Ort %dungeon_name% gegen Lösegeld fest.#Wir könnten das Geld zwar sammeln... Aber dieses Ungeziefer versteht nur die Sprache der Gewalt. Du musst ihn retten und eine Nachricht überbringen, die sie verstehen werden. Ihren Anführer aufzuschlitzen, sollte sehr gut funktionieren. Wirst du es tun?;;;;;Czy imię "%hostage_name%" coś ci mówi? To w sumie nie istotne. Co faktycznie istotne to to, że te tępak wpadł w sidła bandytów kilka dni temu. Trzymają go gdzieś w miejscu, gdzie znajduje się %dungeon_name%. Pewnie dla okupu.#Moglibyśmy zebrać pieniądze, by zapłacić, ale te brutale znają jedynie język siły. Potrzebujemy właśnie ciebie, by wydostać go z niewoli. Tym bandytom trzeba zostawić coś, co zrozumieją. Myślę, że rozprute flaki ich lidera będą idealnym ostrzeżeniem dla innych. Zrobisz to dla nas?
3;Старейшина %village_name% попросил меня найти %dungeon_name% и вызволить крестьянина, угодившего в плен к разбойникам. Убийство главаря также входит в контракт. ;O ancião de %village_name% me pediu para encontrar %dungeon_name% e resgatar o camponês, que está sendo mantido de refém. A morte do líder dos bandidos também faz parte do contrato.;土匪把农民绑到了%dungeon_name%，%village_name%的村长让我去把他救出来。另外，我还要干掉土匪头子。;Der Älteste von %village_name% bat mich, den Ort %dungeon_name% zu finden und den Bauern zu retten, der dort festgehalten wird. Die Entsorgung des Banditenanführers ist ebenfalls Teil des Auftrages.;;;;;%village_name% ma zlecenie. Wydał je starszy lokalnej społeczności. Mam odnaleźć %dungeon_name% i uratować przetrzymywanego dla okupu wieśniaka. Pozbycie się lidera bandytów również jest częścią kontraktu.
4;Отправиться в %dungeon_name%;Vá até a/o %dungeon_name%;前往%dungeon_name%;Begib dich nach: %dungeon_name%;;;;;%dungeon_name% to miejsce poszukiwań.
5;Убить главаря разбойников;Mate o líder da brigada;杀死土匪头目;Töte den Anführer der Banditen.;;;;;Zabij lidera Bandytów.
6;Спасти крестьянина;Resgatar o camponês;救出农民;Rette den Bauern;;;;;Uratuj Wieśniaka.
7;Вернуться за наградой;Reivindique a Recompensa;领取奖赏;Hole dir die Belohnung;;;;;Odbierz nagrodę.
;con_2;con_2;con_2;con_2;con_2;con_2;con_2;con_2;con_2
1;Схваченный купец;Comerciante capturado;生意人被劫;Der entführte Händler;;;;;Schwytany Handlarz
2;Плохие новости. Недавно наш купец, %hostage_name%, отправился в город за товаром и угодил в разбойничью засаду по пути. К счастью, он остался в живых, но угодил в плен. За его жизнь затребовали такой выкуп, что нам его ни в жизнь не собрать.#Мне нужен кто-то, кто сможет пробраться в %dungeon_name% и раз и навсегда дать понять, что никаких переговоров с висельниками мы не ведём. Освободи купца, убей их вожака - а за наградой дело не встанет.;Más notícias. Há pouco tempo, nosso comerciante, %hostage_name%, foi à cidade buscar alguns produtos, mas foi emboscado por bandidos a caminho de lá. Felizmente, ele sobreviveu, mas agora eles pedem dinheiro para o resgate. E nós simplesmente não temos esse tipo de dinheiro que eles estão pedindo pelo seu retorno.#Eu preciso que alguém entre no/na %dungeon_name% e deixe claro para todos, que não negociamos com foras-da-lei. Liberte o comerciante, mate o líder deles, e eu vou garantir que você seja devidamente compensado.;坏消息：我们有个卖东西的，叫%hostage_name%，前几天去镇上拿货，半路遇上了打劫的土匪。算他命大，人没死，不过成了土匪的人质。他们价钱开得太高，我们实在没有那么多钱。#我想找人去一趟%dungeon_name%，明明白白地告诉他们，我们跟违法之徒没什么好谈的。救出人质，干掉土匪头子，我保准不会亏待你。;Schlechte Nachrichten. Vor nicht allzu langer Zeit zog unser Händler %hostage_name% los, um Waren zu erwerben, aber auf dem Weg dorthin wurde er von Banditen überfallen. Zum Glück hat er überlebt, aber jetzt halten sie ihn als Geisel fest. Und wir haben einfach nicht das Geld, das sie für seine Freilassung verlangen.#Ich brauche jemanden, der zum Ort %dungeon_name% reist, und für alle dort klar und deutlich macht, dass wir nicht mit Gesetzlosen verhandeln. Befreie den Händler, töte den Anführer, und ich werde dafür sorgen, dass du angemessen entschädigt wirst.;;;;;Złe wieści. Nie tak dawno handlarz imieniem %hostage_name% udał się do miasta po różne dobra, ale został zaatakowany przez zbirów w trakcie podróży. Na szczęście, przeżył. Jednak teraz bandyci trzymają go dla okupu. Niestety nie mamy tylu pieniędzy, by móc go opłacić.#Potrzebuję kogoś kto ustali gdzie leży %dungeon_name% i uroczyście oświadczy wszystkim bandytom, że z nimi nie negocjujemy. Uwolnij handlarza, zabij lidera bandiorów, a ja zadbam o twoją sowitą nagrodę.
3;Старейшина %village_name% попросил меня найти %dungeon_name% и вызволить купца, угодившего в плен к разбойникам. Убийство главаря также входит в контракт. ;O ancião de %village_name% me pediu para encontrar a/o %dungeon_name% e resgatar o comerciante, que foi pego pelos bandidos. A eliminação do líder dos bandidos também faz parte do contrato.;土匪把生意人绑到了%dungeon_name%，%village_name%的村长让我去把他救出来。另外，我还要干掉土匪头子。;Der Älteste von %village_name% bat mich, %dungeon_name% zu finden und den Händler zu retten, der von den Banditen festgehalten wird. Die Beseitigung des Banditenführers ist ebenfalls Teil des Auftrags.;;;;;%village_name% ogłasza, że szuka kogoś kto odnajdzie miejsce gdzie znajduje się %dungeon_name% i uratuje handlarza, którego porwali bandyci. Pozbycie się ich lidera jest również częścią zlecenia.
4;Отправиться в %dungeon_name%;Vá até a/o %dungeon_name%;前往%dungeon_name%;Begib dich nach: %dungeon_name%;;;;;%dungeon_name% to miejsce poszukiwań.
5;Убить главаря разбойников;Mate o Líder da Brigada;杀死土匪头目;Töte den Anführer der Banditen.;;;;;Zabij lidera Bandytów.
6;Спасти купца;Resgatar o Comerciante;救出生意人;Befreie den Händler;;;;;Uratuj Handlarza.
7;Вернуться за наградой;Reivindique a Recompensa;领取奖赏;Hole dir deine Belohnung;;;;;Odbierz nagrodę.
;con_3;con_3;con_3;con_3;con_3;con_3;con_3;con_3;con_3
1;Пленённый посланник;Emissário Cativo;营救使者;Der gefangene Gesandte;;;;;Emisariusz w niewoli
