#-символ переноса строки, использовать вместо Entera;;;;;;;;;
Номера по спискам;Русский;English;中文;Deutsch;Español;Français;Italiano;Português;Polski
специальные теги, не удалять, не изменять, при добавлении переносить вниз;crypt_prefix;crypt_prefix;crypt_prefix;crypt_prefix;crypt_prefix;crypt_prefix;crypt_prefix;crypt_prefix;crypt_prefix
;Безлюдный / Безлюдная / Безлюдное / Безлюдные;Deserto;荒废;Verlassener / Verlassene / Verlassenes / Verlassene;;;;;Pustynny / Pustynna / Pustynne / Pustynne
;Безмолвный / Безмолвная / Безмолвное / Безмолвные;Silencioso;寂静;Schweigender / Schweigende / Schweigendes / Schweigende;;;;;Cichy / Cicha / Ciche / Ciche
;Безымянный / Безымянная / Безымянное / Безымянные;Desconhecido;无名;Namenloser / Namenlose / Namenloses / Namenlose;;;;;Bezimienny / Bezimienna / Bezimienne / Bezimienne
;Брошенный / Брошенная / Брошенное / Брошенные;Abandonado;废弃;Aufgegebener / Aufgegebene / Aufgegebenes / Aufgegebene;;;;;Opuszczony / Opuszczona / Opuszczone / Opuszczone
;Бурый / Бурая / Бурое / Бурые;Castanho;棕色;Brauner / Braune / Braunes / Braune;;;;;Brunatny / Brunatna / Brunatne / Brunatne
;Воющий / Воющая / Воющее / Воющие;Assobiante;呼啸;Heulender / Heulende / Heulendes / Heulende;;;;;Wyjący / Wyjąca / Wyjące / Wyjące
;Гибельный / Гибельная / Гибельное / Гибельные;Desastrosa;灾祸;Verheerender / Verheerende / Verheerendes / Verheerende;;;;;Zgubny / Zgubna / Zgubne / Zgubne
;Глухой / Глухая / Глухое / Глухие;Silenciosa;笼子;Tauber / Taube / Taubes / Taube;;;;;Głuchy / Głucha / Głuche / Głuche
;Гнилой / Гнилая / Гнилое / Гнилые;Podre;腐坏;Verfaulter / Verfaulte / Verfaultes / Verfaulte;;;;;Gnijący / Gnijąca / Gnijące / Gnijące
;Грозный / Грозная / Грозное / Грозные;Temível;骇人;Furchteinflößender / Furchteinflößende / Furchteinflößendes / Furchteinflößende;;;;;Straszny / Straszna / Straszne / Straszne
;Грязный / Грязная / Грязное / Грязные;Suja;肮脏;Dreckiger / Dreckige / Dreckiges / Dreckige;;;;;Brudny / Brudna / Brudne / Brudne
;Дымный / Дымная / Дымное / Дымные;Nevoado;烟雾;Verrauchter / Verrauchte / Verrauchtes / Verrauchte;;;;;Dymny / Dymna / Dymne / Dymne
;Жуткий / Жуткая / Жуткое / Жуткие;Arrepiante;恐怖;Unheimlicher / Unheimliche / Unheimliches / Unheimliche;;;;;Przerażający / Przerażająca / Przerażające / Przerażające
;Забытый / Забытая / Забытое / Забытые;Esquecida;遗忘;Vergessener / Vergessene / Vergessenes / Vergessene;;;;;Zapomniany / Zapomniana / Zapomniane / Zapomniane
;Замшелый / Замшелая / Замшелое / Замшелые;Musgosa;青苔;Bemooster / Bemooste / Bemoostes / Bemooste;;;;;Zmurszały / Zmurszała / Zmurszałe / Zmurszałe
;Затерянный / Затерянная / Затерянное / Затерянные;Perdida;失落;Verlorener / Verlorene / Verlorenes / Verlorene;;;;;Utracony / Utracona / Utracone / Utracone
;Затхлый / Затхлая / Затхлое / Затхлые;Mofada;阴霉;Muffiger / Muffige / Muffiges / Muffige;;;;;Stęchły / Stęchła / Stęchłe / Stęchłe
;Зачахший / Зачахшая / Зачахшее / Зачахшие;Seca;干萎;Verdorrter / Verdorrte / Verdorrtes / Verdorrte;;;;;Zatęchły / Zatęchła / Zatęchłe / Zatęchłe
;Звенящий / Звенящая / Звенящее / Звенящие;Cintilante;叮当;Klingelnder / Klingelnde / Klingelndes / Klingelnde;;;;;Brzęczący / Brzęcząca / Brzęczące / Brzęczące
;Зловещий / Зловещая / Зловещее / Зловещие;Sinistra;阴森;Finsterer / Finstere / Finsteres / Finstere;;;;;Złowrogi / Złowroga / Złowrogie / Złowrogie
;Зябкий / Зябкая / Зябкое / Зябкие;Fria;阴冷;Kühler / Kühle / Kühles / Kühle;;;;;Chłodzący / Chłodząca / Chłodzące / Chłodzące
