Номера по спискам;Русский;English;中文;Deutsch;Español;Français;Italiano;Polski
специальные теги, не удалять, не изменять, при добавлении переносить вниз;Title;Title;Title;Title;;;;
;;;;;;;;
;;;;;;;;
Possessed;Possessed;Possessed;Possessed;Possessed;;;;Possessed
;Демонический;the Demonic;“魔上身”;der Dämonische;;;;Demoniczny
;Безумный;the Mad;疯子;der Verrückte;;;;Szalony
;Бесноватый;the Raving;狂人;der Tobende;;;;Majaczący
;Помешанный;the Deranged;失心疯;der Geisteskranke;;;;Obłąkany
Possessed_end;Possessed_end;Possessed_end;Possessed_end;Possessed_end;;;;Possessed_end
;;;;;;;;
;;;;;;;;
Powerful;Powerful;Powerful;Powerful;Powerful;;;;Powerful
;Силач;the Mighty;大力士;der Mächtige;;;;Potężny
;Богатырь;the Powerful;“力大无比”;der Kräftige;;;;Mocny
;Большой;the Big;大个子;der Große;;;;Wielki
;Неодолимый;the Overpowering;“力大如牛”;der Übermächtige;;;;Nadludzki
;Громоздкий;the Bulky;傻大个;der Sperrige;;;;Masywny
Powerful_end;Powerful_end;Powerful_end;Powerful_end;Powerful_end;;;;Powerful_end
;;;;;;;;
Vindictive;Vindictive;Vindictive;Vindictive;Vindictive;;;;Vindictive
;Злобный;the Wicked;“睚眦必报”;der Boshafte;;;;Niegodziwy
;Ненавистник;the Malicious;恶人;der Heimtückische;;;;Złośliwy
;Злопамятный;the Vindictive;“有仇必报”;der Rachsüchtige;;;;Mściwy
Vindictive_end;Vindictive_end;Vindictive_end;Vindictive_end;Vindictive_end;;;;Vindictive_end
;;;;;;;;
Persistent;Persistent;Persistent;Persistent;Persistent;;;;Persistent
;Здоровяк;the Husky;大块头;der Bärenstarke;;;;Krzepki
;Крепкий;the Sturdy;“虎背熊腰”;der Stämmige;;;;Silny
;Толстый;the Fat;胖子;der Fette;;;;Grubas
;Толстокожий;the Thick-skinned;“皮糙肉厚”;der Dickhäutige;;;;Gruboskórny
Persistent_end;Persistent_end;Persistent_end;Persistent_end;Persistent_end;;;;Persistent_end
;;;;;;;;
;;;;;;;;
Trapmaker;Trapmaker;Trapmaker;Trapmaker;Trapmaker;;;;Trapmaker
