Номера по спискам;Русский;English;中文;Deutsch;Español;Français;Italiano;Polski
специальные теги, не удалять, не изменять, при добавлении переносить вниз;buff_name;buff_name;buff_name;buff_name;;;;buff_name
1;Кислотная ванна;Acid Bath;酸浴;Säurebad;;;;Kwasowa Kąpiel
2;Агония;Agony;痛苦难耐;Agonie;;;;Agonia
3;Приход;Bad Trip;惊慌失措;Horrortrip;;;;Urwany Film
4;Кровотечение;Bleeding;出血;Bluten;;;;Krwawienie
5;Слепота;Blind;盲目;Blindheit;;;;Ślepota
6;Крепость;Sturdy;矫健;Robust;;;;Krzepkość
7;Неуклюжесть;Clumsy;行动笨拙;Ungeschickt;;;;Niezdarność
8;Замешательство;Confusion;迷惑;Verwirrung;;;;Dezorientacja
9;Боевой раж;Battle Rage;战怒;Kampfwut;;;;Szał Bitewny
10;Обезвоживание;Dehydration;脱水;Dehydriert;;;;Odwodnienie
11;Промокание;Wet;潮湿;Nass;;;;Wilgoć
12;Опьянение;Drunk;醉酒;Betrunken;;;;Pijaństwo
13;Неуловимость;Elusive;灵敏;Flüchtig;;;;Nieuchwytność
14;Разъяренность;Fury;暴怒;Raserei;;;;Furia
15;Потрясающая точность;Exceptional Precision;格外精准;Außergewöhnliche Präzision;;;;Niesamowita Precyzja
16;Мучительный голод;Terrible Hunger;非常饥饿;Schrecklicher Hunger;;;;Wielki Głód
17;Хрупкость;Frail;脆弱;Gebrechlich;;;;Wątłość
18;Бодрость;Fresh;神清气爽;Erfrischt;;;;Świeżość
19;Оледенение;Frozen;冻僵;Gefroren;;;;Zamrożenie
20;Голод;Hunger;饥饿;Hunger;;;;Głod
21;Боль;Pain;疼痛;Schmerz;;;;Ból
22;Сильная боль;Strong Pain;剧痛;Starker Schmerz;;;;Mocny Ból
23;Тошнота;Nausea;恶心;Übelkeit;;;;Wymioty
24;Поимка в сеть;Netted;动弹不得;Eingefangen;;;;W Sieci
25;Горение;Burning;着火;Brennend;;;;Podpalenie
26;Жертвенная кровь;Sacrificial Blood;血祭;Opferblut;;;;Poświęcona Krew
27;Сытость;Satiety;满足;Sättigung;;;;Najedzenie
28;Легкий голод;Light Hunger;略微饥饿;Leichter Hunger;;;;Mały Głód
29;Окаменение;Petrification;石化;Versteinerung;;;;Petryfikacja
30;Отравление;Poisoning;中毒;Vergiftung;;;;Zatrucie
31;Одержимость;Possession;中邪;Besessen;;;;Przechwycenie
32;Ускоренная регенерация;Rapid Restoration;恢复迅速;Rapide Regeneration;;;;Szybka Regeneracja
33;Болевой шок;Pain Shock;疼痛休克;Schmerzschock;;;;Szok Bólowy
34;Сон;Sleep;睡觉;Schlaf;;;;Sen
35;Голодная смерть;Starvation;饥饿难耐;Verhungernd;;;;Głodówka
36;Каменная кожа;Stone Skin;石肤;Steinhaut;;;;Kamienna Skóra
37;Оглушение;Stun;硬直;Betäubt;;;;Ogłuszenie
38;Жажда;Thirst;口渴;Durst;;;;Pragnienie
39;Нестабильность;Instability;行动不稳;Instabilität;;;;Niestabilność
40;Ослабление;Weakened;虚弱;Geschwächt;;;;Osłąbienie
41;Восприимчивость;Receptive;好奇;Empfänglich;;;;Podatność
42;//Золотое касание//;//Golden Touch//;//Golden Touch//;//Golden Touch//;;;;//Złoty Dotyk//
43;Истинное виденье;True Sight;火眼金睛;Wahre Sicht;;;;Prawdziwy Wzrok
44;Похищение жизни;Life Drain;吸血;Lebensentzug;;;;Wykradanie Zdrowia
45;Похищение энергии;Energy Drain;吸取精力;Energieentzug;;;;Wykradanie Energii
46;//Сломанная броня//;//Broken Armor//;//Broken Armor//;//Broken Armor//;;;;//Złamany Pancerz//
47;Ясное зрение;Clear Vision;眼观八方;Klare Sicht;;;;Czysta Wizja
48;Легкая жажда;Light Dehydration;轻微脱水;Leichte Dehydrierung;;;;Lekkie Odwodnienie
49;Жажда;Dehydration;脱水;Dehydrierung;;;;Odwodnienie
50;Страшная жажда;Deadly Dehydration;严重脱水;Tödliche Dehydrierung;;;;Śmiertelne Odwodnienie
51;Легкая травма руки;Mild Hand Injury;手部轻伤;Leichte Handverletzung;;;;Lekka Rana Głowy
52;Травма руки;Hand Injury;手部受伤;Handverletzung;;;;Rana Ręki
53;Тяжелая травма руки;Severe Hand Injury;手部重伤;Schwere Handverletzung;;;;Poważna Rana Ręki
54;Легкая травма ноги;Mild Leg Injury;腿部轻伤;Leichte Beinverletzung;;;;Lekka Rana Nogi
55;Травма ноги;Leg Injury;腿部受伤;Beinverletzung;;;;Rana Nogi
56;Тяжелая травма ноги;Severe Leg Injury;腿部重伤;Schwere Beinverletzung;;;;Poważna Rana Nogi
57;Легкая травма головы;Mild Head Injury;头部轻伤;Leichte Kopfverletzung;;;;Lekka Rana Głowy
58;Травма головы;Head Injury;头部受伤;Kopfverletzung;;;;Rana Głowy
59;Тяжелая травма головы;Severe Head Injury;头部重伤;Schwere Kopfverletzung;;;;Ciężka Rana Głowy
60;Легкая травма торса;Mild Torso Injury;躯干轻伤;Leichte Rumpfverletzung;;;;Lekka Rana Tułowia
61;Травма торса;Torso Injury;躯干受伤;Rumpfverletzung;;;;Rana Tułowia
62;Тяжелая травма торса;Severe Torso Injury;躯干重伤;Schwere Rumpfverletzung;;;;Poważna Rana Tułowia
63;Легкая интоксикация;Light Intoxication;轻度迷醉;Leichte Vergiftung;;;;Lekkie Zatrucie
64;Интоксикация;Intoxication;迷醉;Vergiftung;;;;Zatrucie
65;Тяжелая интоксикация;Severe Intoxication;重度迷醉;Schwere Vergiftung;;;;Poważne Zatrucie
66;Смертельная интоксикация;Fatal Intoxication;迷醉濒死;Tödliche Vergiftung;;;;Śmiertelne Zatrucie
67;//Вопреки всему//;//Against The Odds//;//Against The Odds//;//Against The Odds//;;;;//Przeciwko Wszystkiemu//
68;//Удар милосердия//;//Coup De Grace//;//Coup De Grace//;//Coup De Grace//;;;;//Coup De Grace//
69;//Тантрум//;//Tantrum//;//Tantrum//;//Tantrum//;;;;//Tantrum//
70;Лечение пиявками;Leech Therapy;水蛭疗法;Blutegeltherapie;;;;Terapia Pijawkami
