Номера по спискам;Русский;English;中文;Deutsch;Español;Français;Italiano;Polski
специальные теги, не удалять, не изменять, при добавлении переносить вниз;attribute_text;attribute_text;attribute_text;attribute_text;;;;attribute_text
;;;;;;;;
;// Живучесть и энергия;// Vitality & Energy;// Vitality & Energy;// Vitality & Energy;;;;// Vitality & Energy
;;;;;;;;
HP;Здоровье;Health;生命;Gesundheit;;;;Zdrowie
max_hp;Запас здоровья;Max Health;生命上限;max. Gesundheit;;;;Maksymalne Zdrowie
Health_Restoration;Регенерация здоровья;Health Restoration;生命自动恢复;Gesundheitsregeneration;;;;Regeneracja Zdrowia
Healing_Received;Эффективность лечения;Healing Efficiency;治疗效果;Heilungseffizienz;;;;Skuteczność Leczenia
max_hp_res;Восполнение здоровья;Health Replenishment;生命恢复;Gesundheitsauffüllung;;;;Odnawianie Zdrowia
Health_Threshold;Порог здоровья;Max Health Threshold;生命恢复上限;max. Gesundheitsschwelle;;;;Czynnik Maksymalnej Ilości Zdrowia
MP;Энергия;Energy;精力;Energie;;;;Energia
max_mp;Запас энергии;Max Energy;精力上限;max. Energie;;;;Maksymalna Energia
MP_Restoration;Регенерация энергии;Energy Restoration;精力自动恢复;Energieregeneration;;;;Regeneracja Energii
max_mp_res;Восполнение энергии;Energy Replenishment;精力恢复;Energieauffüllung;;;;Odnawianie Energii
Damage_Received;Получаемый урон;Damage Taken;所受伤害;Erlittener Schaden;;;;Otrzymane Obrażenia
Damage_Returned;Отражение урона;Damage Reflection;反伤;Reflektierter Schaden;;;;Odbicie Obrażeń
Lifesteal;Похищение жизни;Life Drain;生命吸取;Lebensentzug;;;;Wykradanie Zdrowia
Manasteal;Похищение энергии;Energy Drain;精力吸取;Energieentzug;;;;Wykradanie Energii
DEF;Защита;Protection;防护;Schutz;;;;Obrony
Fortitude;Стойкость;Fortitude;坚忍;Robustheit;;;;Zahartowanie
;;;;;;;;
;// Прокачка;// Levelling;// Levelling;// Levelling;;;;// Levelling
;;;;;;;;
AP;ОА;AP;属性点;AP;;;;PA
SP;ОС;SP;技能点;FP;;;;PU
LVL;Уровень;Level;等级：;Stufe;;;;Poziom
XP;Опыт;Experience;经验;Erfahrung;;;;Doświadczenie
Received_XP;Получаемый опыт;Received Experience;所获经验;Erhaltene Erfahrung;;;;Otrzymane Doświadczenie
;;;;;;;;
;// Основные атрибуты;// Primary attributes;// Primary attributes;// Primary attributes;;;;// Primary attributes
;;;;;;;;
STR;Сила;Strength;力量;Stärke;;;;Siła
AGL;Ловкость;Agility;敏捷;Beweglichkeit;;;;Zręczność
PRC;Восприятие;Perception;感知;Wahrnehmung;;;;Percepcja
Vitality;Живучесть;Vitality;活力;Vitalität;;;;Witalność
WIL;Воля;Willpower;意志;Willenskraft;;;;Siła Woli
;;;;;;;;
;// Второстепенные атрибуты;// Secondary attributes;// Secondary attributes;// Secondary attributes;;;;// Secondary attributes
;;;;;;;;
DMG;Урон левой руки;Main Hand Damage;主手伤害;Haupthand-Schaden;;;;Obrażenia Głównej Broni
OFFDMG;Урон правой руки;Off-Hand Damage;副手伤害;Nebenhand-Schaden;;;;Obrażenia Pobocznego Przedmiotu
Weapon_Damage;Урон оружия;Weapon Damage;武器伤害;Waffenschaden;;;;Obrażenia Broni
