tag;Русский;English;中文;Deutsch;Español;Français;Italiano;Polski
;;;;;;;;
;dialog_answer;dialog_answer;dialog_answer;dialog_answer;;;;dialog_answer
;;;;;;;;
Verren_return;*Слушать дальше*;*Continue ouvindo*;*继续听对方说*;*Hör weiter zu*;;;;*Słuchaj dalej*
Verren_continue;*Продолжить*;*Continuar*;*继续*;*Weiter*;;;;*Kontynuuj*
Verren_back;Что ещё расскажешь?;O que mais você pode me dizer?;还有什么能跟我说的吗？;Was kannst du mir noch erzählen?;;;;Co jeszcze możesz mi powiedzieć?
;;;;;;;;
custom_return;*Слушать дальше*;*Continue ouvindo*;*继续听对方说*;*Hör weiter zu*;;;;*Słuchaj dalej*
custom_reward;Я за наградой.;Estou aqui para ver sobre a minha recompensa.;我来领报酬了。;Ich bin wegen meiner Belohnung hier.;;;;Jestem tu po nagrodę.
custom_agree;По рукам.;Combinado.;行。;Abgemacht.;;;;Stoi.
custom_think;Мне надо это обдумать.;Preciso de mais tempo para refletir.;我再考虑考虑。;Ich brauche mehr Zeit zum Nachdenken.;;;;Potrzebuję czasu, by to rozważyć.
custom_advance;Что насчёт аванса?;Que tal um adiantamento?;能先给一部分钱吗？;Wie wäre es mit einem Vorschuss?;;;;Co powiesz o podwyżce?
custom_bounty_complete;Контракт "%contract_name%" выполнен.;"O Contrato %contract_name%" foi cumprido.;“%contract_name%”完成了。;"%contract_name%" wurde erfüllt.;;;;"%contract_name%" został zakończony.
custom_dungeon_complete;%dungeon_name% зачищен.;A dungeon %dungeon_name% está segura.;%dungeon_name%清了。;%dungeon_name% ist ausgeräumt.;;;;%dungeon_name% oczyszczono z przeciwników.
custom_rent_room;Я хочу снять комнату. [позволяет сохранить игру];Eu quero alugar um quarto. [permite salvar o jogo];我想找个房间住下。[可以保存游戏进度];Ich möchte einen Raum mieten. [erlaubt das Speichern des Spiels];;;;Chcę wynająć pokój. [pozwala na zapis gry]
custom_continue;*Продолжить разговор*;*Continuar a conversa*;*继续对话*;*Fahre mit dem Gespräch fort';;;;*Kontynuuj rozmowę*
custom_chat;Чего интересного расскажешь? ;Ouviu algo interessante?;最近听说什么有意思的事情没？;Etwas Interessantes gehört?;;;;Coś ciekawego w okolicy?
custom_work;Есть какие-то контракты?;Existe algum contratos?;有什么能签契据的活儿吗？;Gibt es irgendwelche Aufträge?;;;;Są jakieś zlecenia?
custom_trade;Есть что на продажу? ;O que você está vendendo?;你这里有什么？;Was verkaufst du?;;;;Pokażesz mi swoje towary?
custom_leave;Прощай.;Adeus.;走了。;Lebewohl.;;;;Żegnaj.
custom_this_place;Расскажи про вашу деревню. ;Conte-me sobre sua vila.;说一说你们村子。;Erzähl mir über dein Dorf.;;;;Opowiedz mi o wiosce.
custom_back;Я хочу кое-что уточнить.;Preciso perguntar outra coisa.;我还想问一点别的。;Ich muss noch etwas anderes fragen.;;;;Chcę zapytać o coś innego.
;;;;;;;;
Jorgrim_return;*Слушать дальше*;*Continue ouvindo*;*继续听对方说*;*Hör weiter zu*;;;;*Słuchaj dalej*
Jorgrim_reward;Гони награду.;Entregue minha recompensa.;赏金拿来。;Gib mir meine Belohnung;;;;Oczekuję nagrody.
Jorgrim_agree;Ävdaal. Мне подходит.;Ävdaal. Isso serve.;得，一言为定。;Ävdaal. Das wird genügen.;;;;Ävdaal. To załatwi sprawę.
Jorgrim_think;Igg sikker... Надо обдумать.;Igg sikker ... Eu preciso pensar sobre isso.;这事儿吧……让我再掂量掂量。;Igg sikker... Ich muss es überdenken.;;;;Igg skikker... Muszę to przemyśleć.
Jorgrim_advance;Золото вперёд, venn.;Ouro primeiro, amigo.;先给钱，再干活儿。;Zuerst das Gold, venn.;;;;Najpierw złoto, wenn.
Jorgrim_bounty_complete;Контракт "%contract_name%"... Я справился.;O Contrato %contract_name%" foi cumprido.;“%contract_name%”那活儿……干完了。;Der Auftrag, "%contract_name%"... Er wurde erfüllt.;;;;Kontrakt, "%contract_name%"... jest skończony.
Jorgrim_dungeon_complete;%dungeon_name% пустует, blöddanar. Я убил всех.;A dungeon %dungeon_name% está vazia agora, blöddanar. Eu matei todos eles.;他奶奶个腿儿，%dungeon_name%空了，全都让我给宰了。;%dungeon_name% ist jetzt leer, blöddanar. Ich habe alle getötet.;;;;%dungeon_name% wyczyszczono, blöddanar. Wszyscy nie żyją.
