Номера по спискам;Русский;English;中文;Deutsch;Español;Français;Italiano;Polski;;;;\
;prologue_text;prologue_text;prologue_text;prologue_text;;;;prologue_text;;;prologue_text;\
1;Веррен;Verren;维伦;Verren;;;;Varren;;;;\
2;Архонт;Archon;统领;Archon;;;;Archon;;;;\
3;Даррел;Darrel;达罗;Darrel;;;;Darrel;;;;\
4;Ринвард;Rynward;林沃;Rynward;;;;Rynward;;;;\
5;Ахруз;Ahruz;阿鲁;Ahruz;;;;Ahruz;;;;\
6;Чёрт побери... Где это я?..;Droga ... Onde estou?;该死……这是什么地方？;Was... Wo bin ich?;;;;Cholera... gdzie ja jestem?;;;snd_prologue_verren_damn_it;\
7;Вовремя ты продрал глаза - ритуал начался! Совсем скоро ты нам понадобишься...;Você está acordado - bem a tempo do ritual! Em breve teremos um uso para você ...;你醒啦？醒得正好！仪式就要开始了！等会儿就该你上场了……;Du bist wach - gerade rechtzeitig für das Ritual! Wir werden schon bald Verwendung für dich haben...;;;;Obudziłeś się. Rychło w czas na rytuał! Będziemy mieli pożytek już wkrótce...;;;snd_prologue_proselyte_guard_you_are_awake;\
8;И не вздумай чудить, а не то закончишь, как один из твоих дружков. Надо бы ещё раз его проведать - там наверняка натекло свежей крови...;Não tente nada engraçado, ou você acabará como um de seus amigos. Talvez eu deva checá-lo novamente ... Todo aquele sangue fresco que deve ter drenado agora...;别给我耍什么花招，不然我就让你去见你那个伙计！我该过去看一看了，他那些血应该已经流干了……;Versuch nicht, irgendwas Dummes zu tun, sonst endest du wie einer deiner Freunde. Vielleicht sollte ich noch mal nach ihm sehen... All das frische Blut sollte inzwischen schon abgeflossen sein...;;;;Nie próbuj niczego śmiesznego albo skońćzysz jak twój kolega. Może powinienem sprawdzić, co u niego... Cała ta świeża krew pewnie już wsiąkła..;;;snd_prologue_proselyte_guard_dont_try_anything;\
9;Проклятье, похоже, отбиться нам не удалось...;Maldição. Não parece que vencemos essa luta ...;坏了，看样子我们败了……;Verdammt. Sieht nicht so aus, als hätten wir den Kampf gewonnen...;;;;Przeklęci. Nie wygląda na to, że wygrał tę walkę...;;;snd_prologue_verren_curses;\
10;Нужно выбираться, пока этот хмырь не вернулся. Хм, а кандалы-то совсем ржавые...;Eu preciso sair daqui antes que esse bastardo volte. Hmm, parece que meus grilhões estão enferrujados até o centro ...;趁那个王八蛋还没回来，我得赶紧逃出去。唔，我的手铐脚镣看样子已经锈透了……;Ich muss hier raus, bevor dieser Bastard zurückkommt. Hmm, sieht aus, als wären meine Fesseln angerostet...;;;;Muszę się stąd wydostać nim wróci ten drań. Wygląda na to, że moje kajdany są przerdzewiałe...;;;snd_prologue_verren_i_need_to_get_out;\
11;Бедняга Лок... В этот раз предчувствия тебя не обманули.;Pobre Locke ... Seu mau pressentimento foi notável desta vez.;哎，洛克啊……这次倒是让你这乌鸦嘴说准了。;Armer Locke... Dein ungutes Gefühl hat dich dieses Mal nicht getrogen.;;;;Biedny Locke... Twoje złe przeczucia były tym razem słuszne.;;;snd_prologue_verren_poor_locke;\
12;Его не стали обыскивать, опрометчиво. Без обид, дружище, тебе всё равно это уже ни к чему.;Eles não o revistaram, má jogada. Sem ofensas, amigo, mas você não precisará mais de todas essas coisas.;伙计，他们怎么没搜你身啊，真是太不应该了。我不是那个意思，东西都给我吧，反正你也用不着了。;Sie haben ihn nicht durchsucht, eine schlechte Idee. Nichts für ungut, Kumpel, aber du wirst all diese Dinge nicht mehr brauchen.;;;;Nie przeszukali go. Kiepska decyzja. Bez obrazy, kolego, ale już nie będziesz tych rzeczy potrzebować.;;;snd_prologue_verren_they_didnt;\
13;Надеюсь, выжил не только я: нужно вооружиться и найти остальных.;Espero não ser um sobrevivente solitário. Tenho que me armar e encontrar o resto.;希望活着的人不光我一个。我得找几件兵器和穿的，还得找着其他人。;Ich hoffe, ich bin nicht der einzige Überlebende. Ich muss mich bewaffnen und den Rest finden.;;;;Mam nadzieję, że nie jestem tu jedyny. Pora się uzbroić i znaleźć resztę.;;;snd_prologue_verren_i_hope;\
14;Клетки открыты, а следы крови совсем свежие... Похоже, совсем недавно всех наших куда-то увели.;As jaulas estão destrancadas e as trilhas de sangue estão frescas... Parece que todo mundo foi levado para algum lugar.;笼子的门开了，地上的血迹也是新的……看样子有人把大家带到别的地方去了。;Die Zellen sind entriegelt und die Blutspuren sind frisch... Sieht aus, als wären alle irgendwohin gebracht worden.;;;;Cele są otwarte, a ślady krwi bardzo świeże... Wygląda na to, że wszystkich gdzieś zabrali.;;;snd_prologue_verren_the_cages;\
15;В темнице оставили только меня... Странно, очень странно.;Parece que fui o único a ser deixado na masmorra. Isso é estranho...;这地牢里貌似就剩我一个了，真是蹊跷……;Es scheint, dass ich der einzige war, der im Kerker geblieben ist. Das ist seltsam...;;;;Wygląda na to, że jestem w tych podziemiach sam. To dziwne...;;;snd_prologue_verren_seems_like;\
16;Как ты выбрался наружу?! Тебе конец!;Como você saiu?! Você está morto!;诶！你怎么跑出来的？！你死定了！;Wie bist du raus gekommen?! Du bist tot!;;;;Jak się wydostałeś?! Jesteś trupem!;;;snd_prologue_proselyte_guard_how_did_you;\
17;Берн... Истёк кровью. Нелепая смерть...;Bern... sangrou até a morte. Uma maneira tão tola de ir...;博恩……血都流干了，真是太惨了……;Bern... Verblutet. So eine blöde Art zu sterben...;;;;Bern... Wykrawił się. Cóż za głupia droga do śmierci...;;;snd_prologue_verren_bern_bled;\
18;Похоже, тут ловушка. Надо осмотреться, а не то меня ждёт та же участь...;Parece que há uma armadilha. Eu tenho que dar uma olhada ao redor, a menos que eu queira compartilhar seu destino.;前面好像有一个陷阱，我要观察一下四周，以免落得和他一样的下场。;Es sieht aus, als gäbe es eine Falle. Ich muss mich umsehen, es sei denn, ich will sein Schicksal teilen.;;;;Wygląda to na pułapkę. Muszę się rozejrzeć, by nie podzielić jego losu.;;;snd_prologue_verren_looks_like;\
19;Чёрт, я и забыл про ногу... Болит всё сильней и сильней...;Droga, eu esqueci minha perna ... Dói mais e mais...;不好，我忘了自己腿上有伤……疼得越来越厉害……;Verdammt, habe mein Bein doch glatt vergessen... Es tut immer mehr weh...;;;;Cholera, zapomniałem o ranie mojej nogi... Boli coraz bardziej...;;;snd_prologue_verren_damn_i_forgot;\
20;Надо бы чем-то обработать рану, пока не загноилось.;Eu preciso encontrar algo para tratar a ferida antes que ela se espalhe.;我要找点东西，处理一下伤口，流脓了的话，可就糟了。;Ich muss etwas finden, um die Wunde zu behandeln, bevor sie anfängt zu schwären.;;;;Muszę znaleźć coś, co zaleczy ranę nim stan się pogorszy.;;;snd_prologue_verren_i_need_to_find_something;\
21;Ящики, ящики, ящики... Здесь точно что-то найдётся.;Todas essas caixas ... Certamente encontrarei algo nelas.;这么多箱子……肯定能找到有用的东西。;All diese Kisten... ich werde sicher etwas darin finden.;;;;Wszystkie te skrzynie... W nich na pewno coś musi być.;;;snd_prologue_verren_all_these_boxes;\
22;Ага, вот этим как раз и подлатаю ногу.;Aha, posso usar isso para arrumar minha perna.;啊哈，这个能包扎我的腿。;Aha, damit kann ich mein Bein behandeln.;;;;Aha! Mogę uzyć tego, by ustabilizować swoją nogę.;;;snd_prologue_verren_aha_can_use;\
23;Так-то лучше - жить буду. Пора идти дальше.;Isso é melhor, pelo menos eu vou viver. Hora de seguir em frente.;这就好了，至少我不会死在腿伤上了。继续走吧。;Das ist besser, zumindest werde ich leben. Zeit, weiterzuziehen.;;;;Tak lepiej, przynajmniej przeżyję. Czas ruszać.;;;snd_prologue_verren_thats_better;\
