Номера по спискам;Русский;English;中文;Deutsch;Español;Français;Italiano;Português;Polski
специальные теги, не удалять, не изменять, при добавлении переносить вниз;enemy_name;enemy_name;enemy_name;enemy_name;enemy_name;enemy_name;enemy_name;enemy_name;enemy_name
Skeleton Swordsman;Скелет-мечник;Esqueleto Espadachim;骷髅剑士;Skelett-Schwertkrieger;;;;;Szkielet z Mieczem
Skeleton Axeman;Скелет-топорщик;Esqueleto com Machado;骷髅斧兵;Skelett-Axtkrieger;;;;;Szkielet z Toporem
Skeleton Guard;Скелет-стражник;Guarda Esqueleto;骷髅护卫;Skelett-Wächter;;;;;Szkielet Strażnika
Skeleton Knight;Скелет-рыцарь;Cavaleiro Esqueleto;骷髅骑士;Skelett-Ritter;;;;;Szkielet Rycerza
Skeleton Ranger;Скелет-стрелок;Esqueleto Arqueiro;骷髅弓手;Skelett-Bogenschütze;;;;;Szkielet Łucznika
Skeleton Mage;Скелет-маг;Mago Esqueleto;骷髅法师;Skelett-Magier;;;;;Szkielet Maga
Skeleton Paladin;Скелет-храмовник;Esqueleto Templário;骷髅圣骑;Skelett-Templer;;;;;Szkielet Templariusza
Large Ghoul;Крупный упырь;Carniçal Grande;大食尸鬼;Großer Ghul;;;;;Wielki Ghul
Medium Ghoul;Небольшой упырь;Carniçal;食尸鬼;Ghul;;;;;Ghul
Small Ghoul;Мелкий упырь;Carniçal Pequeno;小食尸鬼;Kleiner Ghul;;;;;Mały Ghul
Necromancer;Некромант;Necromante;死灵法师;Nekromant;;;;;Nekromanta
Necromancer_staff;Некромант;Necromante;死灵法师;Nekromant;;;;;Nekromanta
Wraith;Умертвие;Espectro;幽魂;Gespenst;;;;;Widmo
Summoned Zombie;Призванный зомби;Zumbi Invocado;僵尸;Beschworener Zombie;;;;;Przyzwany Zombie
Dungeon Bat;Подземный нетопырь;Morcego de Masmorra;蝙蝠;Verliesfledermaus;;;;;Podziemny Nietoperz
Giant Rat;Огромная крыса;Rato Gigante;硕鼠;Riesenratte;;;;;Wielki Nietoperz
Rabbit;Кролик;Coelho;兔子;Hase;;;;;Królik
Fox;Лисица;Raposa;狐狸;Fuchs;;;;;Lis
Boar;Вепрь;Javali;野猪;Wildschwein;;;;;Dzik
Wolf;Волк;Lobo;狼;Wolf;;;;;Wilk
Bear;Медведь;Urso;熊;Bär;;;;;Niedźwiedź
Moose;Лось;Alce;驼鹿;Elch;;;;;Łoś
Deer;Олень;Veado;鹿;Hirsch;;;;;Jeleń
Gulon;Гулон;Gulon;谷隆;Gulon;;;;;Gulon
Snake;Лесная гадюка;Víbora da floresta;林蟒;Waldviper;;;;;Leśna Żmija
Putrid Slime;Мерзкий слизняк;Putrid Slime;烂泥;Faulschleim;;;;;Zgniły Szlam
Forest Buzzer;Смертожал;Deathstinger;亡蜂;Todesstachler;;;;;Śmierciokolec
Buzzer Hive;Улей смертожалов;Deathstinger Hive;亡蜂巢;Todesstachler-Nest;;;;;Ul Śmierciokolców
Spiderling;Гигантский паук;Giant Spider;巨蛛;Riesenspinne;;;;;Wielki Pająk
Brigand Poacher;Браконьер;Poacher;盗猎者;Wilderer;;;;;Kłusownik
Brigand Goon;Вышибала;Goon;流氓;Schläger;;;;;Zbój
Brigand Goon Cleaver;Вышибала;Goon;流氓;Schläger;;;;;Rozbójnik
Brigand Thug;Бандит;Thug;恶棍;Verbrecher;;;;;Bandyta
Brigand Trasher;Амбал;Enforcer;打手;Vollstrecker;;;;;Twardziel
Brigand Rioter;Мятежник;Rebel;暴徒;Rebell;;;;;Rebeliant
Brigand Kingpin;Громила;Brute;恶人;Rohling;;;;;Brutal
Brigand Sidekick;Подельник;Sidekick;手下;Handlanger;;;;;Pomocnik
Brigand Henchman;Подельник;Henchman;走狗;Gefolgsmann;;;;;Giermek
Brigand Crook;Плут;Crook;骗子;Ganove;;;;;Oszust
Brigand Renegade;Перебежчик;Turncoat;叛徒;Überläufer;;;;;Zdrajca
Brigand Mancatcher;Ловец;Mancatcher;人贩;Menschenfänger;;;;;Łapacz
Rogue Mage;Пиромант-разбойник;Rogue Pyromancer;土匪炎术法师;Abtrünniger Pyromant;;;;;Łajdak Piromanta
Brigand Outlaw;Грабитель;Outlaw;歹徒;Ausgestoßener;;;;;Banita
Brigand Freak;Безумец;Madman;疯子;Wahnsinniger;;;;;Szaleniec
