тип;Русский;English;中文;Deutsch;Español;Français;Italiano;Polski
;text;text;text;text;;;;text
;;;;;;;;
shacklesTitle;Инвентарь;Inventário;物品栏;Inventar;;;;Ekwipunek
;;;;;;;;
shackles1;Откройте ~y~инвентарь~/~ с помощью [/*INVENTÁRIO*/].;Abra seu ~y~Inventário~/~ pressionando [/*INVENTORY*/].;按[/*INVENTORY*/]可以打开你的~y~物品栏~/~。;Öffne dein ~y~Inventar~/~ durch Drücken von [/*INVENTORY*/].;;;;Otwórz swój ~y~Ekwipunek~/~ używając klawisza [/*INVENTORY*/].
shackles2;Здесь вы можете управлять вашей экипировкой и перемещать предметы.##Это можно сделать несколькими способами: ~lg~перетаскиванием~/~ мышкой, выбрав соответствующую опцию в контекстном меню на [~lg~ПКМ~/~] или сочетанием [~lg~Alt + ЛКМ~/~].;Aqui você pode gerenciar seu equipamento e mover itens. ##Isso pode ser feito de várias maneiras: usando o mouse para ~lg~arrastar~/~ um item, escolhendo a opção correspondente no menu de contexto chamado por [~g~RMB~/~] ou pressionando [~lg~Alt+LMB~/~].;这里可以穿配或卸下你的装备，或移动其他物品。##方式共有三种：1.鼠标~lg~拖放~/~物品；2.[~lg~RMB~/~]点击物品，然后选择下拉菜单的相应选项；3.同时按下[~lg~Alt + LMB~/~]。;Hier kannst du deine Ausrüstung verwalten und Gegenstände verschieben.##Das kann auf verschiedene Weise geschehen: du ~lg~ziehst~/~ den Gegenstand mit der Maus, oder du wählst die entsprechende Option im Kontextmenü, das mit [~lg~RMB~/~] aufgerufen wird, oder du drückst [~lg~Alt + LMB~/~].;;;;Tutaj możesz zarządzać swoim wyposażeniem oraz przenosić przedmioty.##Można to zrobić na wiele sposobów: używając ~lg~przenosząc~/~ przedmiot myszą, otwierając menu związane z przedmiotem [~lg~prawym klawiszem~/~] myszy albo wciskając [~lg~Alt + lewy klawisz myszy~/~].
shackles3;Снимите ~y~кандалы~/~, чтобы освободиться.;Remova os ~y~grilhões~/~ para se libertar.;摘掉~y~镣铐~/~，解放自己。;Entferne die ~y~Fesseln~/~, um dich zu befreien.;;;;Zdejmij ~y~kajdany~/~ i uwolnij się.
;;;;;;;;
searchTitle;Обыск;Procurando;翻找;Suche;;;;Przeszukiwanie
;;;;;;;;
search1;Интерактивные объекты окружения можно обыскивать.#Чтобы обыскать труп, наведите на него и нажмите [~lg~ЛКМ~/~].;Objetos interativos ao redor podem ser pesquisados. #Para revistar o cadáver, passe o mouse sobre ele e pressione [~lg~LMB~/~].;周围有时会有一些可以互动的东西。#要想翻找这具尸体，将鼠标停在尸体上，然后按[~lg~LMB~/~]即可。;Umgebende interaktive Objekte können durchsucht werden.#Um die Leiche zu durchsuchen, fahre mit der Maus darüber und drücke [~lg~LMB~/~].;;;;Otaczające cię interaktywne przedmioty mogą być przeszukane.#By przeszukać ciało najedź na nie myszą i wciśnij [~lg~lewy klawisz myszy~/~]
search2;Теперь заберите предметы.##Чтобы одновременно забрать всё сразу, нажмите на кнопку со стрелкой в окне контейнера или [/*GET_ALL*/].;Agora pegue os itens. ##Para pegar tudo de uma só vez, pressione o botão com uma seta na janela do contêiner ou pressione [/*GET_ALL*/].;现在，拿起物品。##如果想要一次拿走所有东西，按容器窗口的箭头按钮或者按[/*GET_ALL*/]即可。;Hebe jetzt die Gegenstände auf.##Um alles auf einmal aufzunehmen, drücke die Schaltfläche mit dem Pfeil im Container-Fenster oder drücke [/*GET_ALL*/].;;;;Teraz podnieś przedmioty.##By podnieść wszystko na raz, wciśnij klawisz ze strzałką obok okna lub wciśnij [/*GET_ALL*/].
;;;;;;;;
