;Русский;English;中文;Deutsch;Español;Français;Italiano;Polski;;;
;keyboard;keyboard;keyboard;keyboard;;;;keyboard;;;
8;Backspace;Backspace;Backspace;Backspace;;;;Backspace;;;
9;Tab;Tab;Tab;Tab;;;;Tab;;;
12;NumPad CTRL;NumPad CTRL;数字键区5;NumPad 5;;;;NumPad CTRL;;;
13;Enter;Enter;Enter;Enter;;;;Enter;;;
16;Shift;Shift;Shift;Shift;;;;Shift;;;
17;CTRL;CTRL;CTRL;STRG;;;;CTRL;;;
18;Alt;Alt;Alt;Alt;;;;Alt;;;
19;Pause;Pause;Pause;Pause;;;;Pause;;;
20;CapsLock;CapsLock;CapsLock;CapsLock;;;;CapsLock;;;
27;Esc;Esc;Esc;Esc;;;;Esc;;;
32;Пробел;Space;空格;Leertaste;;;;Spacja;;;
33;PageUp;PageUp;PageUp;BildHoch;;;;PageUp;;;
34;PageDown;PageDown;PageDown;BildRunter;;;;PageDown;;;
35;End;End;End;Ende;;;;End;;;
36;Home;Home;Home;Pos1;;;;Home;;;
37;Cтрелка Влево;Arrow Left;方向键左;Pfeil links;;;;Strzałka w Lewo;;;
38;Cтрелка Вверх;Arrow Up;方向键上;Pfeil hoch;;;;Strzałka w Górę;;;
39;Cтрелка Вправо;Arrow Right;方向键右;Pfeil rechts;;;;Strzałka w Prawo;;;
40;Cтрелка Вниз;Arrow Down;方向键下;Pfeil runter;;;;Strzałka w Dół;;;
45;Insert;Insert;Insert;Einfügen;;;;Insert;;;
46;Delete;Delete;Delete;Löschen;;;;Delete;;;
48;0;0;0;0;;;;0;;;
49;1;1;1;1;;;;1;;;
50;2;2;2;2;;;;2;;;
51;3;3;3;3;;;;3;;;
52;4;4;4;4;;;;4;;;
53;5;5;5;5;;;;5;;;
54;6;6;6;6;;;;6;;;
55;7;7;7;7;;;;7;;;
56;8;8;8;8;;;;8;;;
57;9;9;9;9;;;;9;;;
65;A;A;A;A;;;;A;;;
66;B;B;B;B;;;;B;;;
67;C;C;C;C;;;;C;;;
68;D;D;D;D;;;;D;;;
69;E;E;E;E;;;;E;;;
70;F;F;F;F;;;;F;;;
71;G;G;G;G;;;;G;;;
72;H;H;H;H;;;;H;;;
73;I;I;I;I;;;;I;;;
74;J;J;J;J;;;;J;;;
75;K;K;K;K;;;;K;;;
