#-символ переноса строки, использовать вместо Entera;;;;;;;;;;
Номера по спискам;Русский;English;中文;Deutsch;Español;Français;Italiano;Português;Polski;Türkçe
специальные теги, не удалять, не изменять, при добавлении переносить вниз;skill_name;skill_name;skill_name;skill_name;skill_name;skill_name;skill_name;skill_name;skill_name;skill_name
Sudden_Attacks;Удары в спину;Backstab;背后偷袭;Hinterrücks;;;;;Cios w plecy;
Fire_Barrage;Огненный залп;Barreira de Fogo;连发火球;Feuersperre;;;;;Ognista Zasłona;
Darkbolt;Сгусток тьмы;Bolt of Darkness;黑暗能量;Blitz der Dunkelheit;;;;;Bełt Ciemności;
Trap_Search;Поиск ловушек;Detectar Armadilhas;探查陷阱;Fallen entdecken;;;;;Wykrywanie Pułapek;
///;Уход за клинком;Blade Maintenance;爱剑如命;Klingenpflege;;;;;Dbałość o Ostrze;
dazing_strikes;Ошеломляющие удары;Dazing Strikes;眩晕重击;Betäubende Schläge;;;;;Ogłuszające Ciosy;
Series_of_Strikes;Серия ударов;Flurry of Blows;乱剑;Schlaghagel;;;;;Ulewa Ciosów;
moment_of_retribution;Час расплаты;Moment of Retribution;以牙还牙;Moment der Vergeltung;;;;;Moment Odkupienia;
Flame_Wave;Сожжение;Blaze;烈火;Lohe;;;;;Płomień;
excess_heat;Излишки тепла;Excess Heat;余热;Überschusshitze;;;;;Nadmierne Ciepło;
Knockout;Добивание;Finish Off;终结一击;Erledigen;;;;;Wykończenie;
Deadly_Trick;Убийственный трюк;Deadly Trick;斗转星移;Tödlicher Trick;;;;;Śmiertelny Trik;
Heroic_Charge;Героический рывок;Heroic Charge;英勇冲锋;Heroischer Angriff;;;;;Heroiczna Szarża;
Raise_Shield;Поднять щит;Raise Shield;举盾;Schild heben;;;;;Uniesienie Tarczy;
Fragmentation;Фрагментация;Fragmentation;分身;Zersplitterung;;;;;Fragmentacja;
Charge;Рывок;Charge;前冲;Aufladen;;;;;Szarża;
Knockback;Отбрасывание;Knockback;击退;Zurückstoßen;;;;;Odrzucenie;
Bloodletting;Кровопускание;Lacerate;放血;Zerfetzen;;;;;Rozszarpanie;
Life_Leech;Высасывание жизни;Life Leech;吸血;Lebensentzug;;;;;Wykradanie Zdrowia;
Lacerate;Разорвать;Rend Flesh;千刀万剐;Fleisch zerreißen;;;;;Rozdzieranie;
Necrophagy;Некрофагия;Necrophage;食尸;Nekrophage;;;;;Nekrofag;
Crippling_Shot;Калечащий выстрел;Crippling Shot;致残一箭;Verkrüppelnder Schuss;;;;;Okaleczający Strzał;
Mark_of_the_Feast;Метка пиршества;Mark of the Feast;在劫难逃;Zeichen des Festmahls;;;;;Piętno Uczty;
Teleport;Телепорт;Teleport;瞬间移动;Teleportieren;;;;;Teleport;
The_flow_of_arrows;Поток стрел;Rain of Arrows;箭雨;Pfeilhagel;;;;;Deszcz Strzał;
Curse_of_Weakness;Проклятие слабости;Curse of Weakness;虚弱诅咒;Fluch der Schwäche;;;;;Klątwa Słabości;
Sacrificial_blood;Жертвенная кровь;Sacrificial Blood;血祭;Opferblut;;;;;Poświęcona Krew;
Vampire_Rune;Вампирская руна;Vampiric Rune;吸血符文;Vampirische Rune;;;;;Wampiryczna Runa;
Sign_of_Darkness;Знак Тьмы;Sigil of Darkness;黑暗符印;Siegel der Dunkelheit;;;;;Pieczęć Ciemności;
