«;Русский;English;中文;Deutsch;Español;Français;Italiano;Polski;
специальные теги, не удалять, не изменять, при добавлении переносить вниз;Char_panel;Char_panel;Char_panel;Char_panel;;;;Char_panel;
1;ПЕРСОНАЖ;PERSONAGEM;人物;CHARAKTER;;;;POSTAĆ;
2;Сила;Forca;力量;Stärke;;;;Siła;
3;Ловкость;Agilidade;敏捷;Beweglichkeit;;;;Zręczność;
4;Восприятие;Percep��o;感知;Wahrnehmung;;;;Percepcja;
5;Живучесть;Vitalidade;活力;Vitalität;;;;Witalność;
6;Опыт:;XP:;经验：;EP:;;;;XP:;
7;Уровень;Level;等级;Stufe;;;;Poziom;
8;ОА;AP;属性点;AP;;;;AP;
9;БОЙ;COMBATE;战斗;KAMPF;;;;WALKA;
10;МАГИЯ;MAGIA;魔法;MAGIE;;;;MAGIA;
11;ВЫЖИВАНИЕ;SOBREVIV�NCIA;生存;ÜBERLEBEN;;;;PRZETRWANIE;
12;ПРОЧЕЕ;OUTRO;其他;ANDERES;;;;INNE;
13;СОПРОТИВЛЯЕМОСТЬ УРОНУ;RESISTENCIA A DANOS;伤害抗性;SCHADENSRESISTENZ;;;;ODP. NA OBRAŻENIA;
14;Веррен;Verren;维伦;Verren;;;;Verren;
15;Воля;Forca de vontade;意志;Willenskraft;;;;Siła woli;
16;ОС;SP;技能点;FP;;;;SP;
17;ЗДОРОВЬЕ;VIDA;生命;GESUNDHEIT;;;;ZDROWIE;
18;ПСИХИКА;PSIQUE;精神;PSYCHE;;;;PSYCHIKA;
19;БОЛЕЗНИ;DOENCAS;负面状态;KRANKHEITEN;;;;DOLEGLIWOŚCI;
20;Голова;Cabeca;头部;Kopf;;;;Głowa;
21;Торс;Tronco;躯干;Rumpf;;;;Korpus;
22;Л. Рука;Mao Esquerda;左手;L. Hand;;;;L. Ręka;
23;П. Рука;Mao Direita;右手;R. Hand;;;;P. Ręka;
24;Л. Нога;Perna E.;左腿;L. Bein;;;;L. Noga;
25;П. Нога;Perna D.;右腿;R. Bein;;;;P. Noga;
26;ЭНЕРГИЯ;ENERGIA;精力;ENERGIE;;;;ENERGIA;
;Char_panel_end;Char_panel_end;Char_panel_end;Char_panel_end;;;;Char_panel_end;
;;;;;;;;;
;Invent;Invent;Invent;Invent;;;;Invent;
