Номера по спискам;Русский;English;中文;Deutsch;Español;Français;Italiano;Polski
специальные теги, не удалять, не изменять, при добавлении переносить вниз;weapon_name;weapon_name;weapon_name;weapon_name;;;;weapon_name
;;;;;;;;
Wooden Sword;Деревянный меч;Wooden Sword;木剑;Holzschwert;;;;Drewniany Miecz
Rusty Sword;Ржавый меч;Rusty Sword;锈剑;Rostiges Schwert;;;;Zardzewiały Miecz
Homemade Blade;Самодельный клинок;Home-made Sword;土剑;Selbstgebautes Schwert;;;;Miecz Domowej Roboty
Goblin Sword;Гоблинский меч;Goblin Sword;哥布林剑;Goblinschwert;;;;Gobliński Miecz
Battle Cleaver;Боевой тесак;Battle Cleaver;战刀;Kampfbeil;;;;Bojowy Tasak
Inelaborate Falchion;Кустарный фальшион;Crude Falchion;粗锻斩剑;Plumpes Falchion;;;;Kiepski Bułat
Traveller's Blade;Клинок путешественника;Traveller's Blade;旅人之剑;Reiseklinge;;;;Ostrze Podróżnika
Shortsword;Короткий меч;Shortsword;短剑;Kurzschwert;;;;Krótki Miecz
Brigand Blade;Разбойничий меч;Brigand Blade;土匪剑;Banditenschwert;;;;Ostrze Bandyty
Footman Sword;Пехотный меч;Footman Sword;步兵配剑;Fußsoldatenschwert;;;;Miecz Piechura
Orcish Blade;Орочий клинок;Orcish Blade;奥克剑;Orkische Klinge;;;;Ostrze Orków
Vanguard Sword;Меч воина авангарда;Vanguard's Sword;前锋配剑;Schwert der Vorhut;;;;Awangardowy Miecz
Guild Blade;Гильдейский клинок;Guild Blade;公会配剑;Gildenschwert;;;;Ostrze Gildii
Watchman Sword;Меч стражника;Watchman Sword;守卫配剑;Gardistenschwert;;;;Miecz Strażnika
Norse Blade;Северный клинок;Norse Blade;诺斯剑;Nordische Klinge;;;;Nordycki Miecz
Orcish Cleaver;Орочий тесак;Orcish Cleaver;奥克大刀;Orkisches Schlitzmesser;;;;Tasak Orków
Jagged Falchion;Зазубренный фальшион;Jagged Falchion;齿刃斩剑;Gezacktes Falchion;;;;Szczerbaty Bułat
Jarl Blade;Ярлов клинок;Jarl Blade;亚尔剑;Jarlklinge;;;;Ostrze Jarla
Fancy Sword;Щегольский меч;Fancy Sword;华剑;Schickes Schwert;;;;Ozdobny Miecz
Nomad Saber;Сабля кочевника;Nomad Saber;游牧马刀;Nomadensäbel;;;;Szalba Nomada
Orcish Scimitar;Орочий ятаган;Orcish Scimitar;奥克弯刀;Orkisches Scimitar;;;;Bułat Orków
Mastercrafted Falchion;Искусный фальшион;Mastercrafted Falchion;精锻斩剑;Meisterliches Falchion;;;;Mistrzowski Bułat
Elven Saber;Эльфийская сабля;Elven Saber;精灵马刀;Elfensäbel;;;;Elficka Szabla
Skonfert Blade;Сконфертский клинок;Skonfert Blade;斯孔费特剑;Skonfert-Klinge;;;;Ostrze Skonfert
Jibean Scimitar;Джибейский ятаган;Jibean Scimitar;吉贝弯刀;Jibean-Klinge;;;;Bułat Jibean
Knightly Blade;Рыцарский клинок;Knightly Blade;骑士配剑;Ritterklinge;;;;Rycerskie Ostrze
Katzbalger;Кацбальгер;Katzbalger;斗剑;Katzbalger;;;;Katzbalger
Orcish Battlesickle;Орочий боевой серп;Orcish Battlesickle;奥克战镰;Orkische Kampfsichel;;;;Kosa Bojowa Orków
Templar Sword;Меч храмовника;Templar Sword;圣殿骑士刀;Templerschwert;;;;Miecz Templariusza
Decorated Saber;Украшенная сабля;Decorated Saber;铭纹马刀;Verzierter Säbel;;;;Dekorowana Szabla
Engraved Sword;Гравированый меч;Engraved Sword;纹剑;Graviertes Schwert;;;;Grawerowany Miecz
Guard Broadsword;Гвардейский палаш;Guard Broadsword;护卫大剑;Gardistenbreitschwert;;;;Wielki Miecz Strażnika
Ancient Scimitar;Старинный скимитар;Ancient Scimitar;古代弯刀;Altes Scimitar;;;;Starożytny Bułat
Relict Blade;Реликтовый клинок;Relict Blade;古剑;Reliktklinge;;;;Ostrze Reliktu
Royal Sword;Королевский меч;Royal Sword;皇家配剑;Königsschwert;;;;Królewski Miecz
Flame Supremacy;Превосходство Пламени;Supremacy of Flame;御火;Überlegenheit der Flamme;;;;Supremacja Ognia
Arna Sword;Меч Арны;Arna's Sword;阿娜的剑;Arna's Schwert;;;;Miecz Arny
;;;;;;;;
Cammock;Клюка;Cammock;木棍;Cammock;;;;Cammock
Travelling Staff;Походный посох;Travelling Staff;手杖;Reisestab;;;;Laska Podróżnika
Healer Staff;Посох знахаря;Healer Staff;治疗长杖;Heilerstab;;;;Laska Uzdrawiacza
Conjurer Staff;Посох колдуна;Conjurer Staff;幻术长杖;Zaubererstab;;;;Laska Magika
Goblin Staff;Гоблинский посох;Goblin Staff;哥布林杖;Goblinstab;;;;Goblińska Laska
Pilgrim Staff;Посох паломника;Pilgrim Staff;圣徒长杖;Pilgerstab;;;;Laska Pielgrzyma
Reinforced Staff;Укреплённый посох;Reinforced Staff;铁头长杖;Verstärkter Stab;;;;Wzmocniona Laska
Monk Staff;Посох монаха;Monk Staff;僧杖;Mönchsstab;;;;Laska Mnicha
Metallic Staff;Металлический посох;Metallic Staff;金属长杖;Metallstab;;;;Metaliczna Laska
Dwarven Staff;Дварфийский посох;Dwarven Staff;矮人长杖;Zwergenstab;;;;Krasnoludzka Laska
Tribal Staff;Племенной посох;Tribal Staff;部落长杖;Stammesstab;;;;Laska Plemienna
Skadian Staff;Скадийский посох;Skadian Staff;斯卡迪亚长杖;Skadianischer Stab;;;;Skadiańska Laska
Witch Staff;Ведьмин посох;Witch Staff;女巫长杖;Hexenstab;;;;Laska Wiedźmy
Exquisite Staff;Изысканный посох;Exquisite Staff;精致长杖;Exquisiter Stab;;;;Znakomita Laska
Priest Staff;Посох священника;Priest Staff;祭司长杖;Priesterstab;;;;Laska Kapłana
Wizard Staff;Посох чародея;Wizard Staff;男巫长杖;Magierstab;;;;Laska Czarodzieja
Hermit Staff;Посох отшельника;Hermit Staff;隐士长杖;Einsiedlerstab;;;;Laska Pustelnika
Shaman Staff;Шаманский посох;Shaman Staff;萨满长杖;Schamanenstab;;;;Laska Szamana
Orcish Staff;Орочий посох;Orcish Staff;奥克长杖;Orkischer Stab;;;;Laska Orków
Venomancer Staff;Посох веноманта;Venomancer Staff;毒师长杖;Venomantenstab;;;;Laska Trucizmancera
Enchanter Staff;Посох зачарователя;Enchanter Staff;魔师长杖;Verzaubererstab;;;;Laska Zaklinacza
Pyromancer Staff;Посох пироманта;Pyromancer Staff;炎术长杖;Pyromantenstab;;;;Laska Piromanty
Electromancer Staff;Посох электроманта;Electromancer Staff;电术长杖;Elektromantenstab;;;;Laska Elektromancera
Astromancer Staff;Посох астроманта;Astromancer Staff;星术长杖;Astromantenstab;;;;Laska Astromancera
Cryomancer Staff;Посох криоманта;Cryomancer Staff;冰术长杖;Kryomantenstab;;;;Laska Cryomancera
Psimancer Staff;Посох псиманта;Psimancer Staff;通灵长杖;Psimantenstab;;;;Laska Psychomancera
Arcanist Staff;Посох арканиста;Arcanist Staff;秘术长杖;Arkanistenstab;;;;Laska Arkanisty
Geomancer Staff;Посох геоманта;Geomancer Staff;地术长杖;Geomantenstab;;;;Laska Geomancera
Necromancer Staff;Посох некроманта;Necromancer Staff;死灵长杖;Nekromantenstab;;;;Laska Nekromanty
Chronomancer Staff;Посох хрономанта;Chronomancer Staff;命术长杖;Chronomantestab;;;;Laska Chronomancera
Orient Staff;Восточный посох;Orient Staff;东方长杖;Orientalischer Stab;;;;Orientalna Laska
Vampiric Staff;Вампирский посох;Vampiric Staff;吸血长杖;Vampirischer Stab;;;;Wampiryczna Laska
Relict Staff;Реликтовый посох;Relict Staff;古杖;Reliktstab;;;;Laska Reliktu
;;;;;;;;
Kitchen Knife;Кухонный нож;Kitchen Knife;菜刀;Küchenmesser;;;;Kuchenny Nóż
Shiv;Заточка;Shiv;小刀;Shiv;;;;Ostrze
Short Dagger;Короткий кинжал;Short Dagger;短匕首;Kurzdolch;;;;Krótki Sztylet
Travelling Dagger;Кинжал странника;Travelling Dagger;旅人匕首;Reisedolch;;;;Sztylet Podróżniczy
Brigand Dagger;Бандитский кинжал;Brigand Dagger;土匪匕首;Banditendolch;;;;Sztylet Bandyty
Dirk;Дирк;Dirk;短刀;Dirk;;;;Kindżał
Rondel;Рондель;Rondel;圆头匕首;Rondel;;;;Kozik
Baselard;Баселард;Baselard;巴塞拉德;Baselard;;;;Nożyk
Bollock;Баллок;Bollock Dagger;睾丸匕首;Bollock-Dolch;;;;Sztylet Pachołka
Parrying Dagger;Парирующий кинжал;Parrying Dagger;格挡匕首;Parierdolch;;;;Sztylet Blokujący
Misericorde;Мизерикорд;Misericorde;慈悲匕首;Misericorde;;;;Miłosierdzie
Decorated Dagger;Украшенный кинжал;Decorated Dagger;雕饰匕首;Verzierter Dolch;;;;Dekorowany Sztylet
;;;;;;;;
Metal Rod;Железный прут;Iron Bar;铁棍;Eisenstange;;;;Żelazny Pręt
Cudgel;Палица;Cudgel;木棍;Knüppel;;;;Maczuga
Spiked Club;Шипованная дубинка;Spiked Club;钉头棒;Stachelkeule;;;;Nabijana Maczuga
Peasant Flail;Молотило;Peasant Flail;打谷连枷;Bauernflegel;;;;Cep Wieśniaka
Militia Flail;Цеп ополченца;Militia Flail;民兵连枷;Milizflegel;;;;Cep Milicji
Militia Club;Дубинка ополченца;Militia Club;民兵棒;Milizkeule;;;;Pałka Milicji
Reinforced Club;Усиленная палица;Reinforced Club;带钉木棍;Verstärkte Keule;;;;Umocniona Maczuga
Heavy Club;Тяжёлая палица;Heavy Club;铁头木棍;Schwere Keule;;;;Ciężka Maczuga
Skadian Bludgeon;Скадийский брус;Skadian Bludgeon;斯卡迪亚锤棍;Skadianischer Knüppel;;;;Skadiańska Pałka
Footman Mace;Пехотная булава;Footman Mace;步兵钉头锤;Fußsoldatenstreitkolben;;;;Pałka Piechura
